,,,,,,,3451,Secretariat - Economic Services,
,,,,,,,00.090,Secretariat,
,,,,,,,18,Department of Space,
0.0,77251.0,0.0,74220,0.0,74220,,18.00.01,Salaries,95500
0.0,0.0,0.0,120,0.0,10,,18.00.02,Wages,50
0.0,69.0,0.0,140,0.0,60,,18.00.03,Overtime Allowance,100
0.0,8173.0,0.0,9800,0.0,9800,,18.00.06,Medical Treatment,12000
0.0,15153.0,0.0,10400,0.0,9200,,18.00.11,Domestic Travel Expenses,11500
0.0,691.0,0.0,3000,0.0,2400,,18.00.12,Foreign Travel Expenses,3000
0.0,10594.0,0.0,17800,0.0,13500,,18.00.13,Office Expenses,18400
0.0,1431.0,0.0,1600,0.0,1480,,18.00.14,"Rent, Rates & Taxes",2000
0.0,400.0,0.0,500,0.0,100,,18.00.16,Publications,500
0.0,2400.0,0.0,4500,0.0,3000,,18.00.20,Other Administrative Expenses,3500
0.0,0.0,0.0,200,0.0,10,,18.00.21,Supplies & Materials,100
0.0,1603.0,0.0,2020,0.0,500,,18.00.24,POL,2500
0.0,0.0,0.0,200,0.0,10,,18.00.26,Advertising & Publicity,100
0.0,177.0,0.0,500,0.0,300,,18.00.27,Minor Works,600
0.0,150420.0,0.0,122500,0.0,122500,,18.00.28,Professional Services,113000
0.0,40.0,0.0,200,0.0,50,,18.00.30,Other Contractual Services,200
0.0,3913.0,0.0,30000,0.0,11500,,18.00.31,Grant-in-aid - General,30000
0.0,0.0,0.0,100,0.0,10,,18.00.32,Contributions,50
0.0,745.0,0.0,3350,0.0,500,,18.00.50,Other Charges,1400
,,,,,,,18.99,Information Technology,
0.0,73.0,0.0,250,0.0,250,,18.99.13,Office Expenses,400
0.0,60.0,0.0,100,0.0,100,,18.99.50,Other Charges,200
0.0,273193.0,0.0,281500,0.0,249500,,,Total:Department of Space,295100
0.0,273193.0,0.0,281500,0.0,249500,,,Total:Secretariat,295100
0.0,273193.0,0.0,281500,0.0,249500,,,Total:Major Head  '3451',295100
,,,,,,,3252,Satellite Systems,
,,,,,,,00.053,Operation & Maintenance,
,,,,,,,01,Master Control Facility (MCF),
17347.0,266866.0,0.0,0,0.0,0,,01.00.01,Salaries,0
0.0,300.0,0.0,0,0.0,0,,01.00.02,Wages,0
0.0,147.0,0.0,0,0.0,0,,01.00.03,Overtime Allowance,0
1083.0,11917.0,0.0,0,0.0,0,,01.00.06,Medical Treatment,0
2000.0,500.0,0.0,0,0.0,0,,01.00.11,Domestic Travel Expenses,0
0.0,30.0,0.0,0,0.0,0,,01.00.12,Foreign Travel Expenses,0
49313.0,26290.0,0.0,0,0.0,0,,01.00.13,Office Expenses,0
0.0,2149.0,0.0,0,0.0,0,,01.00.20,Other Administrative Expenses,0
12717.0,2182.0,0.0,0,0.0,0,,01.00.21,Supplies & Materials,0
680.0,220.0,0.0,0,0.0,0,,01.00.24,POL,0
0.0,949.0,0.0,0,0.0,0,,01.00.26,Advertising & Publicity,0
25800.0,13350.0,0.0,0,0.0,0,,01.00.27,Minor Works,0
48841.0,67108.0,0.0,0,0.0,0,,01.00.28,Professional Services,0
4750.0,3250.0,0.0,0,0.0,0,,01.00.30,Other Contractual Services,0
0.0,100.0,0.0,0,0.0,0,,01.00.31,Grant-in-aid - General,0
0.0,320.0,0.0,0,0.0,0,,01.00.34,Scholarships & Stipends,0
0.0,0.0,0.0,0,0.0,0,,01.00.50,Other Charges  - Charged,0
2788.0,2011.0,0.0,0,0.0,0,,,Voted,0
,,,,,,,01.99,Information Technology,
1420.0,2510.0,0.0,0,0.0,0,,01.99.13,Office Expenses,0
2475.0,2475.0,0.0,0,0.0,0,,01.99.50,Other Charges,0
169214.0,402674.0,0.0,0,0.0,0,,,Total:Master Control Facility (MCF),0
0.0,0.0,0.0,0,0.0,0,,,Charged,0
,,,,,,,04,INSAT-3 Satellites,
7000.0,0.0,0.0,0,0.0,0,,04.00.01,Salaries,0
32.0,0.0,0.0,0,0.0,0,,04.00.03,Overtime Allowance,0
724.0,0.0,0.0,0,0.0,0,,04.00.11,Domestic Travel Expenses,0
1154.0,0.0,0.0,0,0.0,0,,04.00.13,Office Expenses,0
286.0,0.0,0.0,0,0.0,0,,04.00.20,Other Administrative Expenses,0
1193.0,0.0,0.0,0,0.0,0,,04.00.21,Supplies & Materials,0
190.0,0.0,0.0,0,0.0,0,,04.00.26,Advertising & Publicity,0
1232.0,0.0,0.0,0,0.0,0,,04.00.27,Minor Works,0
803.0,0.0,0.0,0,0.0,0,,04.00.28,Professional Services,0
58.0,0.0,0.0,0,0.0,0,,04.00.50,Other Charges,0
12672.0,0.0,0.0,0,0.0,0,,,Total:INSAT-3 Satellites,0
,,,,,,,06,INSAT-4/GSAT Satellites,
2000.0,0.0,0.0,0,0.0,0,,06.00.01,Salaries,0
37.0,0.0,0.0,0,0.0,0,,06.00.03,Overtime Allowance,0
2992.0,0.0,0.0,0,0.0,0,,06.00.11,Domestic Travel Expenses,0
3437.0,0.0,0.0,0,0.0,0,,06.00.13,Office Expenses,0
908.0,0.0,0.0,0,0.0,0,,06.00.20,Other Administrative Expenses,0
23362.0,0.0,0.0,0,0.0,0,,06.00.21,Supplies & Materials,0
1663.0,0.0,0.0,0,0.0,0,,06.00.27,Minor Works,0
3502.0,0.0,0.0,0,0.0,0,,06.00.28,Professional Services,0
